,AAPL,GOOG,IBM,MSFT
2010-01-04 16:00:00,,,,
2010-01-05 16:00:00,,,,
2010-01-06 16:00:00,,,,
2010-01-07 16:00:00,,,,
2010-01-08 16:00:00,,,,
2010-01-11 16:00:00,,,,
2010-01-12 16:00:00,,,,
2010-01-13 16:00:00,,,,
2010-01-14 16:00:00,,,,
2010-01-15 16:00:00,,,,
2010-01-19 16:00:00,,,,
2010-01-20 16:00:00,,,,
2010-01-21 16:00:00,,,,
2010-01-22 16:00:00,,,,
2010-01-25 16:00:00,,,,
2010-01-26 16:00:00,,,,
2010-01-27 16:00:00,,,,
2010-01-28 16:00:00,,,,
2010-01-29 16:00:00,,,,
2010-02-01 16:00:00,-1.8869651854054335,-1.3970718095787877,-1.2773832007367187,-1.8677077209899116
2010-02-02 16:00:00,-1.5200166511284494,-1.339698345155108,-0.915768232462422,-1.5907376385974257
2010-02-03 16:00:00,-0.926939600813371,-0.9408796894219588,-0.7934027281184891,-1.2661139350340005
2010-02-04 16:00:00,-1.7353106523663115,-1.3093093306452783,-1.438266120476253,-1.8185520204896786
2010-02-05 16:00:00,-1.134619532233327,-1.0393190364168046,-1.1561085193771878,-1.4505287843505448
2010-02-08 16:00:00,-1.1912809790708232,-0.8764215145751801,-1.3189626210830676,-1.5354731970082272
2010-02-09 16:00:00,-0.8199007546607159,-0.6898548296994175,-0.8568426307123483,-1.145363109924043
2010-02-10 16:00:00,-0.8759791626471578,-0.6925281595342607,-0.8755301738720493,-1.0523360564329807
2010-02-11 16:00:00,-0.3183122390950667,-0.5343252102191574,-0.5451790295700444,-0.8494138450907469
2010-02-12 16:00:00,-0.007704076548882168,-0.61278187167131,-0.3887606580569599,-0.9396701084319276
2010-02-16 16:00:00,0.47218058701736476,-0.1153796918846146,0.10656676048240388,-0.335554247354356
2010-02-17 16:00:00,0.5114194777592759,-0.18203422208749914,0.8708216506797751,0.03961832209071032
2010-02-18 16:00:00,0.7504316894207181,0.3538445734032885,1.8483809300679437,0.7343552288855799
2010-02-19 16:00:00,0.611725068967308,0.6763848106962145,1.6560876902886406,0.5846503996974567
2010-02-22 16:00:00,0.3031494904618057,1.2585059865911343,1.3276968393043524,0.5410898242187341
2010-02-23 16:00:00,-0.3814305271465464,-0.2629150370669617,1.058913774973471,-0.08564116637888616
2010-02-24 16:00:00,0.5271224276325003,-0.9087666665066969,1.5166663304651065,0.5672232014628465
2010-02-25 16:00:00,1.0614750258960663,-1.7308346280364157,1.1744412748356956,0.7065822714479183
2010-02-26 16:00:00,1.5956711468916065,-1.4823646752091693,1.1020824988792939,0.9789516493166753
2010-03-01 16:00:00,2.2921758549740696,-0.40259552746564725,1.619495921730694,1.614585709303356
